UserIP_Anonymized,Scenario,survey.age,survey.gender,survey.education,survey.political,survey.religious,country_code,Outcome,Continent
00ba739b,Footbridge,20,Women,College,0.78,0.08,DK,1,Europe
00ba739b,Loop,20,Women,College,0.78,0.08,DK,1,Europe
00ba739b,Switch,20,Women,College,0.78,0.08,DK,1,Europe
00be456c,Footbridge,18,Men,College,0.77,0.64,US,0,Americas
00be456c,Loop,18,Men,College,0.77,0.64,US,0,Americas
00be456c,Switch,18,Men,College,0.77,0.64,US,1,Americas
00c1462b,Footbridge,30,Men,No College,0.5,0,FI,1,Europe
00c1462b,Loop,30,Men,No College,0.5,0,FI,1,Europe
00c1462b,Switch,30,Men,No College,0.5,0,FI,1,Europe
00c3e271,Footbridge,27,Men,College,0.5,0.5,DE,0,Europe
00c3e271,Loop,27,Men,College,0.5,0.5,DE,1,Europe
00c3e271,Switch,27,Men,College,0.5,0.5,DE,0,Europe
00c3fedd,Loop,23,Men,College,0.86,0,US,1,Americas
00c3fedd,Switch,23,Men,College,0.86,0,US,1,Americas
00c92fd0,Footbridge,55,Men,No College,0.97,0.05,DE,0,Europe
00c92fd0,Loop,55,Men,No College,0.97,0.05,DE,1,Europe
00c92fd0,Switch,55,Men,No College,0.97,0.05,DE,1,Europe
00cab6fa,Footbridge,50,Women,No College,0.93,0.07,GB,0,Europe
00cab6fa,Loop,50,Women,No College,0.93,0.07,GB,1,Europe
00cab6fa,Switch,50,Women,No College,0.93,0.07,GB,1,Europe
00d2c052,Loop,29,Women,College,0.5,0.5,TH,0,Asia
00d2c052,Switch,29,Women,College,0.5,0.5,TH,0,Asia
00d4b343,Footbridge,25,Men,College,0.24,0.5,US,0,Americas
00d4b343,Switch,25,Men,College,0.24,0.5,US,1,Americas
00d4e545,Footbridge,22,Women,College,1,0,FR,1,Europe
00d4e545,Loop,22,Women,College,1,0,FR,1,Europe
00d4e545,Switch,22,Women,College,1,0,FR,1,Europe
00d636a1,Footbridge,18,Men,No College,0.16,0.87,TR,0,Asia
00d636a1,Loop,18,Men,No College,0.16,0.87,TR,0,Asia
00d636a1,Switch,18,Men,No College,0.16,0.87,TR,0,Asia
00d7ddb1,Footbridge,32,Men,College,0.5,0.5,BY,1,Europe
